one two three
1.818 1.843 2.306
2.512 2.799 3.079
3.563 3.593 4.142
4.870 4.902 5.499
0.277 0.381 0.507
0.102 0.153 0.220
5.339 5.372 5.971
3.939 4.251 4.571
1.884 2.152 2.417
0.608 0.779 0.963
3.357 3.667 3.973
3.551 3.581 4.129
3.386 3.697 4.004
4.342 4.374 4.953
4.785 5.126 5.456
3.415 3.445 3.986
0.603 0.773 0.956
3.220 3.513 3.814
3.558 3.874 4.185
1.903 1.960 2.438
3.211 3.349 3.849
1.345 1.584 1.846
0.773 0.971 1.186
2.083 2.086 2.529
1.297 1.331 1.788
1.624 1.990 2.263
4.627 4.659 5.084
3.490 3.953 4.263
1.090 1.409 1.644
3.327 3.356 3.740
0.744 1.020 1.226
0.228 0.378 0.498
0.669 0.678 0.982
4.938 4.994 5.575
0.552 0.718 0.880
2.383 2.410 2.900
5.219 5.565 5.895
7.946 7.974 8.472
3.303 3.611 3.915
6.171 6.203 6.784
1.174 1.195 1.602
1.797 1.822 2.284
3.299 3.328 3.871
1.451 1.688 1.937
2.942 2.970 3.493
3.748 4.056 4.371
1.047 1.067 1.458
0.611 0.782 0.966
4.198 4.229 4.810
0.537 0.697 0.871
1.019 1.237 1.462
1.967 1.993 2.464
3.760 3.790 4.356
3.288 3.583 3.886
1.429 1.452 1.886
0.632 0.797 0.983
5.007 5.351 5.681
1.209 1.230 1.647
2.008 2.269 2.537
3.197 3.489 3.790
3.806 3.837 4.397
2.088 2.363 2.633
1.641 1.665 2.122
2.030 2.291 2.560
2.554 2.829 3.110
2.292 2.572 2.848
2.275 2.302 2.794
2.067 2.093 2.576
1.418 1.441 1.879
1.318 1.340 1.519
0.837 1.249 1.475
0.215 0.419 0.552
0.412 0.481 0.699
1.433 1.502 1.832
1.194 1.654 1.902
5.202 5.867 6.197
2.476 2.516 2.743
2.864 3.184 3.464
1.707 1.731 1.926
5.656 6.002 6.330
1.606 1.630 2.084
2.040 2.066 2.547
4.327 4.359 4.937
2.970 2.998 3.523
1.383 1.617 1.863
3.215 3.521 3.822
1.095 1.115 1.513
1.517 1.757 2.010
1.175 1.196 1.604
4.527 4.851 5.178
1.058 1.078 1.471
2.583 2.610 3.115
4.456 4.793 5.120
1.376 1.399 1.827
2.393 2.664 2.942
1.307 1.330 1.751
0.687 0.703 1.035
0.502 0.657 0.826
0.795 0.813 1.162
2.627 2.904 3.187
5.241 5.571 5.902
5.666 5.699 6.289
4.604 4.929 5.257
3.182 3.211 3.740
4.434 4.771 5.097
0.175 0.253 0.351
0.391 0.525 0.676
5.776 5.809 6.405
0.915 1.114 1.330
3.827 3.858 4.426
1.455 1.478 1.920
1.358 1.601 1.846
3.374 3.671 3.977
1.307 1.547 1.789
1.814 2.068 2.331
1.475 1.498 1.936
0.922 1.121 1.337
1.821 1.847 2.310
0.893 1.089 1.303
1.447 1.470 1.905
3.510 3.540 4.086
5.509 5.840 6.170
1.324 1.347 1.770
6.843 7.157 7.464
4.828 4.861 5.449
4.081 4.112 4.682
5.361 5.707 6.037
4.880 4.913 5.502
7.217 7.522 7.818
5.968 6.297 6.622
5.644 5.677 6.267
1.582 1.837 2.092
3.078 3.379 3.676
5.663 6.009 6.337
6.651 6.683 7.255
2.408 2.435 2.932
3.939 4.252 4.571
1.498 1.521 1.967
7.828 7.857 8.367
4.166 4.498 4.821
2.667 2.945 3.229
7.402 7.702 7.992
7.344 7.375 7.906
4.743 5.069 5.398
4.294 4.326 4.903
6.161 6.488 6.810
2.981 3.010 3.529
5.694 5.727 6.324
6.369 6.693 7.011
4.150 4.181 4.762
5.172 5.516 5.847
1.030 1.249 1.474
6.215 6.556 6.876
4.424 4.455 5.043
5.068 5.397 5.728
4.774 5.101 5.431
6.033 6.361 6.685
2.704 2.731 3.243
5.802 6.147 6.473
6.575 6.607 7.182
2.809 2.836 3.353
1.659 1.907 2.165
2.333 2.602 2.878
1.638 1.896 2.153
6.780 6.812 7.371
3.514 3.816 4.125
0.008 3.049 11.25
7.822 8.121 8.398
6.408 6.746 7.063
5.311 5.656 5.986
2.724 2.752 3.258
4.434 4.771 5.097
6.929 6.961 7.513
0.887 1.092 1.306
5.727 6.057 6.385
5.635 5.980 6.308
2.200 2.226 2.715
7.580 7.610 8.135
7.895 8.179 8.454
8.908 8.933 9.382
5.494 5.825 6.155
6.512 6.833 7.148
8.180 8.208 8.691
2.185 2.451 2.723
2.610 2.887 3.170
6.314 6.639 6.958
6.862 6.894 7.449
5.864 6.193 6.520
2.940 3.237 3.530
1.248 1.474 1.712
2.495 2.522 3.017
6.426 6.749 7.066
6.372 6.404 6.979
8.101 8.379 8.647
8.156 8.432 8.698
9.162 9.186 9.617
7.378 7.678 7.970
3.941 3.972 4.537
3.315 3.610 3.914
0.770 0.953 1.155
2.931 2.958 3.481
6.235 6.561 6.882
4.337 4.658 4.983
1.252 1.488 1.727
5.864 5.897 6.491
2.597 2.872 3.155
